RK,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Year
7,LA Clippers,6,98.3,37.2,85.0,43.7,5.7,19.5,29.1,18.3,29.3,62.5,11.3,34.8,46.2,18.2,8.5,4.7,9.7,20.5,2016
8,Miami Heat,14,96.9,36.9,80.5,45.8,6.9,19.1,35.8,16.3,21.3,76.5,9.1,35.1,44.2,16.4,5.4,5.9,13.1,21.2,2016
9,Detroit Pistons,4,95.0,36.0,75.3,47.8,8.8,23.3,37.6,14.3,22.0,64.8,7.0,30.8,37.8,21.8,5.3,3.3,10.5,19.0,2016
10,Boston Celtics,6,93.8,34.3,89.5,38.4,8.7,31.5,27.5,16.5,21.0,78.6,10.7,35.3,46.0,21.0,6.3,6.5,14.7,22.0,2016
11,Dallas Mavericks,5,93.8,35.4,81.2,43.6,6.2,21.4,29.0,16.8,24.2,69.4,9.2,25.8,35.0,20.6,6.0,2.4,11.8,24.0,2016
12,Indiana Pacers,7,93.7,33.0,74.9,44.1,8.1,21.3,38.3,19.6,23.9,82.0,9.1,30.1,39.3,18.1,7.6,5.6,14.4,22.3,2016
13,Toronto Raptors,20,93.4,34.3,81.4,42.1,6.9,23.0,29.8,18.1,24.5,73.7,10.8,29.6,40.4,15.7,7.5,3.7,13.0,21.9,2016
14,Houston Rockets,5,91.2,33.0,85.6,38.6,7.6,28.4,26.8,17.6,27.4,64.2,14.4,33.0,47.4,18.0,8.4,4.2,19.0,25.6,2016
15,Charlotte Hornets,7,90.3,31.9,80.4,39.6,5.7,18.6,30.8,20.9,24.9,83.9,7.1,29.7,36.9,13.6,5.7,3.3,9.4,17.4,2016
16,Memphis Grizzlies,4,81.0,32.0,81.3,39.4,4.8,16.0,29.7,12.3,17.5,70.0,13.8,27.3,41.0,16.5,7.8,4.0,15.5,21.5,2016
1,Golden State Warriors,17,119.3,42.9,87.0,49.4,12.7,32.9,38.6,20.7,25.4,81.5,9.3,36.5,45.8,28.2,8.7,6.1,13.6,21.8,2017
2,Cleveland Cavaliers,18,116.2,40.9,83.1,49.3,14.2,33.9,42.0,20.1,26.2,76.7,9.2,32.9,42.2,22.1,7.4,4.7,13.1,18.8,2017
3,Indiana Pacers,4,108.8,40.5,87.0,46.6,11.3,28.8,39.1,16.5,21.5,76.7,11.8,30.3,42.0,22.5,8.0,3.8,13.3,22.8,2017
4,Washington Wizards,13,108.1,40.1,87.6,45.7,8.4,26.5,31.7,19.5,24.6,79.4,11.2,31.8,43.0,22.8,7.9,6.6,13.8,23.0,2017
5,Houston Rockets,11,107.7,37.3,85.0,43.8,12.8,38.5,33.3,20.4,25.8,78.9,9.9,33.0,42.9,19.5,7.7,4.6,14.0,20.9,2017
6,San Antonio Spurs,16,107.1,40.0,86.6,46.2,8.6,24.4,35.0,18.5,23.9,77.3,12.8,31.7,44.4,21.3,7.8,4.7,12.8,18.8,2017
7,Atlanta Hawks,6,105.5,37.5,84.5,44.4,8.3,27.3,30.5,22.2,29.0,76.4,11.3,33.0,44.3,22.3,6.0,3.3,16.0,21.3,2017
8,Boston Celtics,18,105.2,38.4,84.1,45.7,12.7,34.4,36.9,15.7,20.3,77.3,9.4,28.5,37.9,26.9,7.7,4.1,13.4,20.8,2017
9,Oklahoma City Thunder,5,104.2,38.6,87.4,44.2,8.4,27.0,31.1,18.6,27.0,68.9,12.2,31.4,43.6,19.8,8.4,8.0,12.8,22.2,2017
10,Portland Trail Blazers,4,101.5,35.5,89.5,39.7,11.0,34.0,32.4,19.5,24.3,80.4,10.0,34.0,44.0,15.8,7.3,4.8,15.3,21.8,2017
11,Utah Jazz,11,97.8,35.6,78.4,45.5,9.5,25.9,36.5,17.1,23.4,73.2,6.7,32.4,39.1,19.7,7.4,3.2,12.1,21.1,2017
12,LA Clippers,7,97.7,36.4,77.0,47.3,8.1,23.4,34.8,16.7,24.0,69.6,7.7,30.0,37.7,18.4,6.3,2.4,12.1,20.3,2017
13,Toronto Raptors,10,96.7,35.3,79.5,44.4,7.8,23.5,33.2,18.3,22.5,81.3,6.8,32.5,39.3,19.6,7.4,4.4,12.9,20.9,2017
14,Chicago Bulls,6,96.5,36.3,82.5,44.0,7.0,23.5,29.8,16.8,19.8,84.9,12.5,34.2,46.7,20.0,7.2,5.2,15.3,18.3,2017
15,Memphis Grizzlies,6,96.3,34.7,77.2,44.9,9.3,24.2,38.6,17.7,20.3,86.9,7.7,27.8,35.5,18.8,5.2,2.5,11.3,22.2,2017
16,Milwaukee Bucks,6,93.2,34.8,78.2,44.6,9.0,21.7,41.5,14.5,20.8,69.6,8.2,29.8,38.0,21.2,8.2,5.0,13.3,21.3,2017
1,Golden State Warriors,21,110.4,41.2,86.0,48.0,11.2,31.4,35.7,16.8,20.4,82.2,9.1,35.9,45.0,26.0,7.9,5.8,12.9,19.7,2018
2,New Orleans Pelicans,9,110.0,42.9,89.8,47.8,9.9,27.0,36.6,14.3,18.3,78.2,7.9,37.7,45.6,26.9,8.1,5.0,14.4,19.3,2018
3,Philadelphia 76ers,10,108.8,38.7,88.5,43.7,9.9,29.3,33.8,21.5,28.3,76.0,13.4,36.1,49.5,25.8,7.8,4.1,14.6,22.8,2018
4,Toronto Raptors,10,107.3,38.9,82.3,47.3,10.4,26.7,39.0,19.1,23.9,79.9,9.4,30.7,40.1,21.8,5.7,6.1,14.0,22.6,2018
5,Washington Wizards,6,107.2,39.7,85.2,46.6,8.0,21.8,36.6,19.8,23.3,85.0,8.5,31.5,40.0,23.3,7.8,5.2,13.5,21.0,2018
6,Portland Trail Blazers,4,105.5,41.3,91.0,45.3,10.8,32.3,33.3,12.3,15.8,77.8,11.3,32.3,43.5,19.0,8.3,3.8,14.5,20.5,2018
7,Houston Rockets,17,104.9,37.2,85.3,43.6,13.4,39.8,33.7,17.2,22.2,77.2,8.8,34.2,43.0,18.8,8.1,5.5,12.1,19.1,2018
8,Miami Heat,5,103.4,36.6,82.8,44.2,10.8,27.6,39.1,19.4,28.6,67.8,9.6,31.4,41.0,23.8,8.8,6.4,16.0,29.2,2018
9,Utah Jazz,11,102.4,37.7,82.9,45.5,10.7,29.9,35.9,16.2,23.5,68.7,9.4,35.6,45.0,20.3,7.5,5.0,15.5,20.5,2018
10,Milwaukee Bucks,7,101.9,39.1,78.3,50.0,9.6,25.7,37.2,14.0,19.9,70.5,5.6,33.0,38.6,22.0,6.6,6.7,13.1,22.9,2018
11,Minnesota Timberwolves,5,101.6,38.0,82.6,46.0,9.0,21.8,41.3,16.6,22.8,72.8,8.6,36.6,45.2,22.4,5.0,3.2,12.6,18.2,2018
12,Boston Celtics,19,101.4,36.4,83.3,43.7,10.5,30.6,34.3,18.1,23.5,76.7,8.8,32.8,41.7,21.2,6.8,4.1,11.6,20.4,2018
13,Oklahoma City Thunder,6,101.2,37.2,86.5,43.0,10.5,28.8,36.4,16.3,21.2,77.2,9.3,34.7,44.0,16.3,8.8,4.2,14.0,21.7,2018
14,Cleveland Cavaliers,22,101.1,36.9,81.9,45.0,10.0,30.3,33.1,17.4,23.1,75.2,9.8,31.6,41.4,19.2,6.0,4.4,12.7,19.5,2018
15,Indiana Pacers,7,100.6,38.6,80.1,48.1,9.7,27.1,35.8,13.7,19.3,71.1,8.1,31.9,40.0,21.1,8.1,2.7,13.1,21.9,2018
16,San Antonio Spurs,5,96.8,34.6,83.8,41.3,8.4,28.2,29.8,19.2,23.0,83.5,8.4,29.2,37.6,19.0,7.6,3.0,11.0,20.4,2018
1,LA Clippers,6,114.7,39.8,89.2,44.7,11.5,31.7,36.3,23.5,28.8,81.5,10.0,30.2,40.2,25.3,8.0,3.3,15.0,25.0,2019
